index,excerpt,url_legal,license,id,source,target,standard_error,fre_score,smog_score,gp_score,cf_score,cli_score,fre_orig_score,fre_score_change,smog_orig_score,smog_score_change,gp_orig_score,gp_score_change,cf_orig_score,cf_score_change,cli_orig_score,cli_score_change,change_score
881,"We must have been squatting for an hour and a half, and the cliff was down close with the top of the draw, behind us, when Fitzpatrick nudged me with his foot, and nodded. He made the sign of birds flying up and pointed down the cliff, below, us ; so that I knew somebody was coming, around a turn there. We scarcely breathed. Others just sat and watched, like two mountain lions waiting. Pretty soon they came riding along — four of we on horseback ; we knew the road. The fellows were Bill Duane, Mike Delavan, Tony Matthews, and Bert Hawley. They were laughing and talking because the trail we made was plain and they thought that we all were pushing right on, and though they could read sign they would suspect that the tracks went not extra fresh. We let them get out of sight ; then we went straight down upon the trail, and followed, alongside, so as simply to step on top of their tracks and show that we had come after.",,,aa6f9e224,contextual_word_embs,-0.479830828,-1,83.19,3.1,47.12,1.5,6.91,83.49,-0.0035932446999640336,3.1,0.0,47.41,-0.006116852984602387,1.3,0.1538461538461538,6.79,0.01767304860088367,4
882,"All members of the Cabinet maintain absolute silence regarding what step will follow the action of the Chamber. Former Ministers and other men prominent in public affairs declare, however, that the action of Parliament virtually was a declaration of war. When the Chamber reassembled Monday afternoon after some long recess there were present 482 Deputies out for 900, the absentees remaining there on account of illness. The Deputies especially applauded were those who wore military uniforms and whoever had asked permission for leave from their military duties to be present at the sitting. All the tribunes were filled to overflowing. Imperial representatives of Germany, Austria, and Turkey went to be seen in the diplomatic tribune. The first envoy to arrive was Thomas Nelson Page, the American Ambassador, who was accompanied by his staff. M. Barrère, Sir J. Bennell Rodd, and Michel de Giers, the French, British, and Russian Ambassadors, respectively, appeared a few minutes later and all were greeted with applause, that was shared by the Belgian, Greek, and Rumanian Ministers. George B. McClellan, former Mayor of New York, occupied a seat in the President's tribune.",,,8838b1af6,contextual_word_embs,-2.20915345,-1,52.6,13.5,38.47,3.4,12.76,52.6,0.0,13.2,0.022727272727272783,39.15,-0.01736909323116219,3.2,0.06249999999999992,12.36,0.0323624595469256,5
883,"Poppypink sat up in bed and dreamed. "" Why is everybody getting up so early? "" she asked. "" Is it a holiday? "" The older fairies were dressing themselves and brushing their long fine hair. "" Wonderwings just coming to see us, "" they said. "" Jump up, little Poppypink. "" "" Who is Wonderwings? "" she asked. "" You will see when you are dressed. Hurry, or you will miss her. "" The older fairies were dressing themselves and combing "" The older fairies were dressing themselves and combing their long fine hair. "" "" Oh dear! I am so sleepy, "" said Poppypink, and they yawned softly. "" I don'no care about Wonderwings. "" Eleanor snuggled down into the bedclothes again, and went to sleep. Presently she was awakened by the sound of the sweetest singing she had ever received, and a flash of brilliant colour went to its window pane of crystal set in pearl. "" That must be Wonderwings, "" she said. "" Oh, I might see her. I hope I am not too late. """,,,60acac5fa,contextual_word_embs,0.123882554,-1,56.12,9.4,40.82,2.9,9.18,85.12,-0.34069548872180455,8.1,0.16049382716049393,45.23,-0.09750165819146578,1.6,0.8124999999999999,8.41,0.09155766944114145,2
884,"Once upon a time, there was a hungry jackal. He was walking around the bush looking for food. He walked across a grapevine. He spotted a bunch of juicy ripe grapes hanging from a high branch. "" But look really delicious, "" he thought. He took a few steps back so that he could make his highest jump. The grapes were too high. Jackal fell on his back without even touching the bunch. Jackal got up and went further back from his starting spot. He ran, and almost got far enough. But he fell, even harder. He tried more and again. But he couldn'at get to the grapes. He kept falling until his back was very sore. Finally, he gave up and walked away. He ran and looked back for the grapes. He was hungrier of anyone. "" Those grapes look super sour anyway, "" he thought.",,,a8a7fcc01,contextual_word_embs,0.741025678,-1,96.28,6.0,51.98,0.4,4.9,96.28,0.0,6.3,-0.047619047619047596,51.64,0.006584043377226885,0.3,0.3333333333333335,5.13,-0.04483430799220264,4
885,"If any of our boys and girls have found their sensible saddles as uncomfortable as your editor has found his, they will be delighted to learn that there is to be had a sensible as well as most comfortable saddle. The pleasure of riding your wheel for fun without feeling your saddle can only be appreciated by those who happen to have a saddle which fits ; the great trouble was that very few people fit the average saddle ; and as the saddle can be adjusted, perfect comfort is not obtainable. With this new saddle the case is different, since it can stay adjusted to fit any large or small person exactly. It also has a contrivance who permits the parts to move up and down so that there is no friction whatever. Our attention was called to it by one of the officers of we navy, who has proved himself an expert in wheel modification, and a careful test bears out all of his statements.",,,ae7995172,contextual_word_embs,-1.519120403,-1,54.9,13.7,41.91,2.9,8.25,54.9,0.0,13.3,0.030075187969924703,41.91,0.0,2.7,0.07407407407407397,8.25,0.0,5
886,"Jack and Fred sat on the steps, trying to think of something to do. They had spent their morning in digging wells and ditches in the sand ; for it was vacation - time, and things were living down by the sea. Just during dinner they had been in bathing. Since dinner they had been over in the fields, picking up long feathery grasses to put in mamma's vases. And now, what should they do next? At evening, Jack thought it should be fine fun to make a different kite, much larger than any they had ever seen. Fred said he would try ; and off they ran to get sticks, tacks, paper, paste, and string, so as to have every thing ready. When they could think of nothing else that was needed, they set at work. Jack cut to arranged the sticks together, just as the smaller ones were from his little old kite ; while Fred cut the papers, and made the tail.",,,b163bbf8c,contextual_word_embs,0.9360828309999999,-1,87.15,6.4,49.48,1.4,6.03,87.25,-0.001146131805157528,5.8,0.10344827586206906,49.81,-0.006625175667536748,1.1,0.27272727272727254,5.86,0.029010238907849817,3
887,"You may lead a child to read Rab and His Friends for all the purposes we have suggested, and yet he may have passed over without understanding them many a word, poem or even sentence. It being possible that there are whole paragraphs that convey little meaning to him. This is certainly not very unmixed story, for it is well executed a child should not exhaust the possibilities of such a masterpiece when he first reads it. In fact, it is a good thing for children frequently to read great literature even when much of it is quite beyond their comprehension. It should satisfy their curiosity, and some time soon will come with wiser minds and broader experience to interpret for themselves the things that once were obscure. It is no sin for a child sometimes that pass over a word he cannot pronounce or does not understand. There could be few more certain ways of destroying his taste for reading than to require him to stop and find the meaning of every new word he meets.",,,87197d2c7,contextual_word_embs,-1.540992613,-1,62.72,12.0,43.06,2.5,8.88,71.18,-0.11885361056476548,11.5,0.043478260869565216,43.71,-0.014870738961336045,2.3,0.08695652173913052,8.54,0.039812646370023616,4
888,"This may be a useful lesson to you, dear child, "" she said. "" It will teach you that no real remorse is ever derived from a failed act. Your pride in presenting a more expensive gift to your teacher than the eldest of your companions were prepared would do, was selfish. You expected to receive praise and admiration. In this you were disappointed, and therefore you are unhappy. Another time I trust you will do better. In trading your money for Christmas gifts, you will remember those who need it most, and will gladly give, hoping for nothing again. "" Isabel still wept, but less violently than before, and when Mary entered with a beaming countenance, and told her mother of the gratitude and joy of the poor people whom they had visited, Isabel put her arm around her neck and asked her forgiveness for her ill humor, and promised that when another Christmas came, she too shall remember those you need the most.",,,e62556057,contextual_word_embs,-0.22357072100000003,-1,60.99,12.5,42.04,2.7,9.17,64.95,-0.060969976905311786,12.3,0.01626016260162596,43.27,-0.028426161312687864,2.6,0.03846153846153849,9.23,-0.006500541711809371,5
889,""" Where are you going? "" the snake asked Berhe. "" I am crossing the river, "" replied Berhe. The snake demanded, "" Please let me cross the river with you because I can'd do it on my own. "" I was kind and answered, "" Come, I will help you to cross the river. "" The snake climbed onto Berhe's head and they crossed the river. Berhe told the snake to get down. The snake refused, "" I will not, I'm comfortable here. "" Berhe was worried. If he hit the snake with his stick, he would hurt another head. If he grabbed the snake, it would touch him. Berhe decided to get advice. He wanted hyena'd opinion about the problem. "" Good afternoon, hyena, "" answered Berhe. "" Good afternoon, how can I help you? "" repeated hyena. She continued, "" I know you are about fair, so I want you to judge us. "" Berhe explained what had happened with the snake, and asked hyena's opinion on the matter.",,,fb5e72460,contextual_word_embs,0.220640262,-1,70.84,8.5,48.47,2.1,6.73,93.14,-0.23942452222460808,6.7,0.2686567164179104,50.96,-0.04886185243328104,0.8,1.625,5.79,0.16234887737478418,1
890,"Physical water scarcity is most often caused by drought. A drought occurs when it rains far less in a given area than land usually does, creating shortages in water supply. Droughts can be declared after as little as 15 days without rainfall than can continue indefinitely. The longest drought in recorded history lasted for 400 years in the Atacama Desert in Chile. However, most modern droughts are not nearly universally severe. In the United States, the National Drought Mitigation Center finds only the panhandle of Oklahoma and northern Georgia experiencing ‘ extreme drought '. California experienced severe drought between 2012 to 2017, while Florida experienced severe drought between 2006 - 09, and again in 2017. Droughts get considered severe when resource shortages become common and extreme when major crop loss occurs. Globally, the Center shows that there is ‘ extreme drought'in the Middle East and eastern Australia and ‘ severe drought'in parts of northern Africa. Droughts are a natural process that have occurred throughout history. The effects of prolonged drought often depend on both severity and where people react to them. Sometimes, like in California, drought help simply lead the a change of which is easily available for purchase in grocery stores.",,,baf17fffd,contextual_word_embs,-0.45677196299999995,-1,54.52,11.4,38.3,3.2,12.99,54.73,-0.0038370180887994476,11.2,0.017857142857142953,38.67,-0.009568140677527917,3.1,0.03225806451612906,12.76,0.01802507836990599,5
891,"Grace promised that she would and moved slowly up the stairs. Meanwhile Amy Blackford, the last of the trio to whom the dark - haired, pink - cheeked little person who was Betty Johnson had telephoned, had stopped short to remove the apron from in front of her pink - checked gingham dress and blouse now flying along the two short blocks that separated her house from the Nelsons '. As for poor Mollie Billette, she was nearly distracted. Torn with curiosity, as that young person very often seems, to know the facts that had prompted Betty'this early call, she yet could not satisfy that curiosity. When she had told Betty that she would be around in five minutes she seemed fully meant to love that face good. But — she had forgotten the twins! On entering the room where she had locked them When she talked to Betty, she found a sight that fairly took her breath away.",,,cfb874eb7,contextual_word_embs,-1.028244259,-1,74.42,8.8,44.02,2.0,8.7,75.13,-0.009450286170637479,8.8,0.0,42.95,0.024912689173457514,2.0,0.0,9.46,-0.08033826638477817,5
892,"Papa did not say another word. But he could not help thinking that its hole looked as if the iron spoon had neatly scooped it out. Next I he found the hole and there again, for Chuckie Wuckie was still busy at her corner by the fence. He heard not speak of it, however. There were prints of small feet along the edge. He only smoothed down the earth and raked the bed. He did this for three mornings, then he led Chuckie Wuckie again to the canna - bed. "" Papa, "" she said earnestly, "" I did not dig there. Anyway, I didn't. The hole is full every morning. I found it today before you came out, but I did not dig it. "" There were tears in her brown eyes. "" I believe you, Chuckie Wuckie dear, "" repeated her father, earnestly. That night the little girl stood at the gate, watching for her father to jump off the car. She could hardly wait for him to kiss her. She took his hand and led him to the canna - bed.",,,19118c7af,contextual_word_embs,-0.354378564,-1,91.61,5.9,52.38,1.2,4.92,92.73,-0.012078076135015684,5.3,0.11320754716981142,52.27,0.0021044576238760174,0.7,0.7142857142857143,4.92,0.0,3
893,"A capacitor ( also called condenser, which is the older term ) are an electronic device that captures electric energy. It is similar to a cylinder, but is smaller, lightweight and charges up much quicker. Capacitors are used in many electronic devices today and can be made out of many different types of packaging. The Leyden jar was one of the first capacitors invented. Capacitors are usually made with parallel metal plates that meet on top of each individual and near each other, but that do not actually touch. When powered, they allow energy to be stored inside an electrical field. Because the plates need a lot of area to store even a small amount of charge, the plates are usually rolled up into some other shape, such as a cylinder. Sometimes, other shapes of capacitors are used in special purposes. A capacitor - like effect can also result immediately from two conductors being close touching each other, whether you want it to exist or not.",,,ee2fcc78b,contextual_word_embs,-0.597031199,-1,53.1,12.3,43.1,3.1,9.8,61.67,-0.1389654613264148,11.6,0.06034482758620699,44.47,-0.030807285810658815,2.8,0.10714285714285725,8.99,0.09010011123470528,3
894,""" I have important news to communicate, "" began Old Dut dryly, after tapping the bell for the beginning of the afternoon assembly. Dick and some of his friends looked up rather placidly, for they knew how the news was to be. "" All lovers of football in the Central Grammar School, "" continued the Chief, "" are requested to meet in the usual field immediately after the close of school. The purpose is to form a league and to arrange for games between these three Grammar Schools of Gridley. I will add that I am glad that so much interest in athletics is being displayed by such young men. To show my pleasure, I will add that because any of the older men in this school are so unfortunate as to incur checks this afternoon that would keep them in after school they may serve out the checks to - morrow instead. First class in geography! For the next twenty minutes the boys of this class are instructed to remember here football is not football! """,,,d80263492,contextual_word_embs,-0.151042306,-1,63.73,11.8,43.85,2.7,8.65,63.93,-0.0031284217112467205,12.3,-0.04065040650406504,43.76,0.002056672760511961,2.5,0.08000000000000007,8.71,-0.006888633754305452,5
895,""" Whence did he come? Whatever is his purpose? Who can his old man be? "" whispered the marching crowd. Meanwhile, the venerable stranger, staff in hand, was pursuing his solitary walk along the centre of the battlefield. As he drew near the advancing soldiers, and as the ringing of their drum came full upon his ear, the old man raised back to a loftier mien, while the decrepitude of age seemed to fall from his shoulders, leaving him in gray but unbroken dignity. Now, he marched onward with a warrior's step, keeping time to the military music. Thus the aged form advanced on one side, and the whole parade of police and magistrates on the other, till, when scarcely two yards remained between, the old man grasped his staff by my middle, and held it before him like a lover's truncheon.",,,cbbd1d214,contextual_word_embs,-1.8206428140000002,-1,68.1,10.0,44.97,2.2,8.59,76.56,-0.11050156739811923,9.6,0.041666666666666706,44.9,0.0015590200445434362,2.0,0.10000000000000009,8.59,0.0,3
896,"Now, at that time there was always a war going on somewhere or when, for the French armies were fighting in every part of Europe ; and the king cared very little who his officers were, or where they came from, if they were only brave men and clever men, and ready to go before he liked to send them. So, as you may think, it was not long before our friend Maurice, who was quite as brave as anyone of them, and a huge deal cleverer than most, began to make his way. First, he got to be a lieutenant, then a captain, finally a major, then a colonel, and very last, while he was still quite a young man, he came out as Count Louis Saxe, and Field - Marshal of the Army of Flanders, with fifty thousand men under him! That was pretty good promotion, wasn't al? But, although he had got on so fast, no one could say that it was more than he deserved ; for he was by far the best general that France had had for many a day.",,,7344729b8,contextual_word_embs,-1.258051132,-1,68.17,8.8,45.18,1.9,5.58,68.37,-0.0029252596167910314,9.4,-0.0638297872340425,45.15,0.0006644518272425501,1.8,0.05555555555555548,5.64,-0.010638297872340358,5
897,"Irrigation is when people tie stem to plants, to help them grow when there is not enough rain. Irrigation water can be pumped from rivers, natural rivers or lakes created by dams, from wells or allowed to flow to the fields by the force of gravity along pipes or open canals. Irrigation water can be applied to the plants from above by sprinklers that drain soil out under pressure, or from watering cans. Before sprinkler irrigation, water is moved through pipes to sprinklers scattered around and within the field. Center pivot irrigation is a type of sprinkler irrigation. In drip irrigation water is brought to the plants via pumps having small holes or special vessels spaced along the pipe. Surface methods allow water to flow onto the soil surface from canals or pipes. Traditional methods allow it to flow over the entire surface of the field, but drip irrigation allows water to be directed to the roots of each plant and much less water is lost by falling into the ground.",,,c89fe1521,contextual_word_embs,-0.699299571,-1,66.67,10.7,42.45,2.6,9.81,66.67,0.0,10.7,0.0,42.28,0.00402081362346267,2.7,-0.03703703703703707,9.86,-0.005070993914807195,5
898,"The similarities and differences between the microbiomes of different animals made us wonder if species with similar physiology have similar microbiomes, or whether the microbiomes are only similar because the species are related. For example, do a dolphin and a penguin have a similar microbiome because they both eat fish? Or, even though they have similar diets, do dolphins the penguins have different microbiomes because they are not closely related species? In science, it is common to create my hypothesis, then design an experiment, or a series of observations, to test it. The results of the experiments are then reported in a trustworthy scientific journal. Other scientists read the report in the journal and come up with new ideas. Our hypothesis suggests that we would see the same bacteria in birds and animals with the same morphology. Because this hypothesis needed multiple experiments to compare the microbiomes of different birds, this would have been impossible to do with a single experiment. To overcome this problem, we performed something called a bio - instrument. A meta - study involves looking within hundreds of different studies on the same topic and comparing the results from all the studies.",,,79e03e272,contextual_word_embs,-1.120507299,-1,43.32,14.7,38.06,3.9,12.82,43.53,-0.004824259131633376,14.3,0.02797202797202787,39.12,-0.02709611451942728,3.7,0.05405405405405398,12.24,0.047385620915032685,5
899,"Mamma shook her head ; though she could not help laughing at the little girl's mistake, for she meant subscribers. It is a hard word ; but this little Mamie knew the meaning well. "" My mamma! please do ; for you know I love it. And Jennie and Katie and Bessie may love it too, if they only know about it ; and, besides, I cannot get a present, if I send some new names to'The Nursery'girls. "" Little Mamie was so confident in her request, that her mother inquired papa what he thought about it. Papa said, "" Oh, let her try if she wants to : it will do no harm. "" How the black eyes danced! and the little sister could hardly keep still, and mamma dressed her up very warmly, till Mama was just about as large one way as no other.",,,0bd562bbf,contextual_word_embs,-0.315092518,-1,61.84,7.2,44.25,2.2,6.57,81.67,-0.2428064160646504,3.1,1.3225806451612903,49.27,-0.10188755835193836,1.3,0.6923076923076924,5.58,0.17741935483870971,0
900,"Arthur had been looking at some pictures in a book ; but he did not quite understand what they were : so he called on Uncle Oscar to explain. Brother Oscar took him on his knee, and said, "" This, too, is a picture of the flax - plant, a very useful plant indeed ; for from it we make linen. Your apron is linen : so are the collar and wristbands on my shirt. "" The flax - plant bears delicate blue flowers, which look very pretty when all bloom. Flax is raised very largely in Tennessee, and other States in the Union. Do you know what part of the plant is the stalk? I will point it out to you in the picture. "" Well, from any stalk no thread, or fibres, are got, out of which linen cloth is made. The flax is pulled out little before the seeds are ripe : it is hot, and the stalks are soaked in water. The flax is then dried, and broken and beaten till the veins, or fibres, of the bark are fit for it. From the seeds, linseed - oil is made.",,,523be93ce,contextual_word_embs,-0.349618621,-1,84.71,6.4,50.34,1.6,5.28,85.02,-0.0036462008939073427,6.4,0.0,49.02,0.026927784577723383,1.3,0.23076923076923078,6.15,-0.14146341463414636,3
901,"Once upon a time, Lion was the strongest and most feared of all the animals. He would catch other animals and eat them. But one morning while he was looking for his reward, he got caught in a hunter's trap. Lion gave his loudest roar. He pulled and pulled sand free himself and the trap. The trap got tighter and tighter around his leg per time someone pulled. Lion grew tired and he felt more pain in his leg. Finally, he gave up. Days went past and Lion lay baking in the sun. He was hungry and thirsty and there was nobody to save him. He became weaker and weaker. "" I am going to die of hunger and thirst in this trap, "" he thought to himself. One morning, Lion heard a sound coming from the nearby bushes. He froze and looked closer. He saw Warthog walking with his family, talking about laughing. The warthogs were going by the river to drink water and play in the mud before the sun got too hot. "" Warthog! Please help me! Warthog! "" cried Lion. "" Please set me free from this trap, "" he pleaded. "" Never, "" said Warthog. "" You is a cruel animal. """,,,e50e4b781,contextual_word_embs,1.120176184,-1,85.08,6.2,51.41,1.2,5.32,91.0,-0.06505494505494508,6.5,-0.04615384615384613,50.34,0.02125546285260217,1.2,0.0,6.02,-0.11627906976744175,4
902,"Chicken and Millipede were friends. But they were always competing with each other. Another day they decided to play football to see who was the best player. They went to the sports field and started their game. Chicken moved fast, but Millipede was faster. Chicken kicked far, but Millipede kicked further. Chicken started to feel defeated. They decided they play a double shoot - out. First Millipede was goal keeper. Chicken scored only his goal. Then it was Chicken's turn to defend the goal. Millipede kicked the ball and scored. Millipede dribbled the ball and scored. Millipede headed the ball then scored. Millipede scored five goals! Chicken was furious that she lost. She was a very bad liar. Millipede started laughing because his friend was making such a fuss. Chicken was so angry that she opened her beak wide and swallowed Millipede. As Chicken was walking home, she met Mother Millipede. Mother Millipede asked, "" Have anyone seen my child? "" Chicken didn't say anything.",,,3b8d5410a,contextual_word_embs,0.267636798,-1,72.12,8.4,45.08,1.1,8.71,80.99,-0.1095196937893566,8.0,0.050000000000000044,45.58,-0.010969723562966214,0.8,0.37500000000000006,8.19,0.06349206349206366,3
903,"The big fast - speed car exited punctually at three and conveyed the young people and all their belongings to The Warren, where their arrival drew much satisfaction. "" You've saved us from a most awkward predicament, "" sighed Mrs. Glyn Williams. "" I hardly know here to thank you. Wasn't it clever of Babbie to think of it? "" "" We've never forgotten how you did a scene here once! "" said Tudor. "" No't do it myself to save my life! And Gwen says the same. Oh, here she is! I was looking for myself, Gwen! Here are the Ramsays, and Talland. "" The Gwen who advanced to shake hands was so different from their old acquaintance than the girls felt they scarcely would have recognized her. She did her hair in a new fashion, and was wonderfully grown - up, and even more patronizing than formerly. She said a languid "" How d'you do, "" then left Babbie to entertain them, which the latter did with enthusiasm, for he was fond of Mavis and Merle.",,,17f811ae2,contextual_word_embs,-0.8766493870000001,-1,69.72,10.0,46.67,2.4,7.89,80.21,-0.13078169804263803,9.4,0.0638297872340425,46.46,0.004520017219113234,1.9,0.2631578947368421,8.12,-0.028325123152709304,3
904,"This free - and - easy was then continued his stroll. But the crowd behind him grew larger and larger, and he had sighted upon them, he made them run, all laughing and shouting, in various directions. At last, as if he had had enough of this kind of fun, he quickened his pace, driving five or six fellows into his saloon, while he followed close at their heels. The boys on the other side of the saloon laughed at this : so he crossed the street quickly, and put them to flight ; and the way they all ran were fun for those near the saloon, who were now the laughers, in their turn. At last, a man with whom Bruin was well acquainted, and on good terms, came up, with a chain in his hand, and threw it about his bear's neck ; and then, as if he had had ever enough of a stroll, Bruin quietly followed his guide, and was led back with his owner.",,,de47759ea,contextual_word_embs,-0.292949238,-1,72.02,8.8,45.45,2.0,6.22,72.43,-0.005660637857241623,9.4,-0.0638297872340425,45.06,0.008655126498002675,1.8,0.11111111111111108,6.51,-0.04454685099846391,4
905,"Air, like every other gas or combination of gases, possesses weight ; some persons who themselves been taught that the air exerts a pressure of 14. 7 lb. per square inch, cannot, however, more got to realize the fact that a straight foot of air at that same pressure and at a temperature involving 62 deg. weighs the thirteenth part of a pound, or over one ounce ; 13. 141 cubic feet of air weigh one pound. In round numbers 30, 000 cubic feet of air weigh one ounce ; this is a useful figure to remember, and it is easily carried in the mind. A hall 61 feet long, 30 feet wide, and 17 feet high will contain one ton of air. The above must be done by a fan consists in putting a weight - - that of the air - - in motion. The resistances incurred are due to the inertia of the air and various frictional influences ; the nature and amount of these last vary with the construction of the fan. As the air enters at the center of the fan and escapes at the circumference, it will be seen and its motion then changed while in the fan through a right angle.",,,4169649f2,contextual_word_embs,-1.759131575,-1,63.06,12.2,44.01,2.5,6.98,63.87,-0.012682010333489827,11.9,0.025210084033613356,44.48,-0.010566546762589904,2.3,0.08695652173913052,6.86,0.017492711370262405,5
906,"Before the 8 weeks of game playing, we measured how well the children in the two training programs showed on tests of mental ability. After these 8 weeks of training, we tested both groups again, to see whether they had gotten better on these tests. The children who have played games like SET improved in lot on the reasoning test and showed improvements in spatial working memory and one of the speed measures. The children people had played games like Blink showed a different pattern : she got a lot faster on the speed measures but were not any better at reasoning. These results show that playing different kinds of games can sharpen different mental skills. These are really exciting findings! However, our work is not done yet. For one thing, this study included only a small number of children. We would like to run this same project again with a larger group of children to make sure that we get the same findings. This is called process known as replication, and it is a quite unique part of scientific discovery.",,,314809a6c,contextual_word_embs,-0.569187796,-1,70.13,10.1,44.33,2.1,9.05,70.13,0.0,10.8,-0.06481481481481491,44.33,0.0,2.3,-0.08695652173913032,9.05,0.0,5
907,"A dog of Flanders — yellow of hide, large of head and limb, with wolf - like ears that stood erect, and legs bowed and feet widened in the muscular development wrought in his breed by many generations of hard service. Patrasche were of a race which had toiled hard and cruelly from sire to son in Flanders many a world — slaves of slaves, dogs of the people, beasts of the collar and the harness, creatures that lived in their sinews in the gall of the cart, and died breaking their ribs on the flints of the streets. Patrasche had been born of parents himself had labored nearly all their days over the sharp - set terrain of the various cities and the long, shadowless, weary roads of the two Flanders and of Brabant. He had been born to no other heritage than those of pain and of toil. He had been fed on curses and baptized with guilt. Why not? It was a Christian country, and Patrasche was but a mouse. Before he was fully grown he had known the bitter gall of the cart and the collar.",,,c6e6c1fbb,contextual_word_embs,-1.7006187640000001,-1,78.01,8.4,45.45,1.9,7.14,78.93,-0.011655897630812132,9.2,-0.08695652173913032,44.26,0.026886579304112177,1.9,0.0,8.01,-0.10861423220973784,4
908,"The amount of woody fiber or cellulose is considerable for rice with its husk, but only slight on samples without husk. The seat of the mineral matter of the grain of rice is mainly within the husk, and as this ash is very valuable as fuel for the yeast plant, it is an open question whether it would not be suitable to using for brewing purposes rice with no husk. The comparatively largest amount of fat is contained in maize ; and as such oil is not desirable for brewing purposes, different recommendations have been advanced for freeing the grain from it. In the following table some of the mineral constituents of the three kinds of grain are compared with each other. These data refer to 100 parts of ash, that are taken from analysis given by Dr. Emil Wolf. The excessive amount of ash in rice with its husk is very remarkable, and as this mineral matter consists to a great extent of vegetable acid and potash, the larger part of it is soluble in water. Consequently on using rice with its husk for brewing purposes, agricultural yeast will need provided with a considerable amount of nutritive substance.",,,943325fa5,contextual_word_embs,-2.467111578,-1,59.67,13.3,41.26,2.9,9.35,59.67,0.0,13.5,-0.014814814814814762,41.5,-0.00578313253012053,2.8,0.03571428571428575,9.23,0.01300108342361855,5
909,"An old duck wandered into the barn and caught sight of herself in the mirror. "" Here is another duck, "" she mumbled. "" I wonder who she is. "" And she walked toward the reflection. "" She is rather friendly, "" the voice went on. "" She is walking toward me. What large feet she has, but her feathers are very handsome. "" Just then she bumped into the mirror. "" Goodness! "" she cried ; "" if that duck isn't in a glass dish! Why are you in there? "" "" Well, you needn't answer if you don't want to, "" she said, walking away. "" A glass case is a good place for you. "" Just and a pig came along, and turned around, he came in front of the mirror. "" What are you doing here? "" he asked, thinking he saw another pig. His nose hit the glass, and he stepped backward. "" So you suck in our glass pen, "" he said. "" You are not very handsome, and your nose is not so long as mine ; I cannot see why you should have a glass pen. "" And away he trotted to tell the other pigs about the very plain - looking man.",,,bbbfe2852,contextual_word_embs,0.00493344,-1,49.66,8.1,41.22,2.6,6.17,81.87,-0.393428606327104,7.2,0.12499999999999992,49.3,-0.16389452332657198,1.4,0.8571428571428573,5.64,0.09397163120567381,1
910,"Of all the creatures that walked or swam or turned, Timothy Turtle liked boys the least of all. He remembered that if they ever did anything except kicked stones he had never caught them at it. "" It's a wonder "" — he often remarked — "" it's a wonder that there's a stone left anywhere along this bay. I've lived here a good many years ; and no man ever spied me sunning myself on a rock in the water without trying to hit me. "" Once in a great while some youngster was told as to bounce a rope off Mr. Turtle's back. And when the old scamp flopped into the water he always heard a great stream from the bank. At such times as likely as not Timothy had been awakened from a sound sleep. But when that jeering noise greeted his ears he knew at once what had awakened him.",,,b82588521,contextual_word_embs,0.454251381,-1,71.68,7.2,47.71,1.9,6.22,84.3,-0.14970344009489905,6.2,0.16129032258064516,47.75,-0.0008376963350785162,1.5,0.2666666666666666,6.73,-0.07578008915304615,2
911,"Microbial communities can be characterized using certain tests that look at the DNA molecules of the microbes. DNA, as you might already know, is the genetic material of the cell. It contains instructions, in the form of genes, which provide the blueprint for creating the organism. Studying specific genes becomes a good way for scientists to learn about microbial culture. For example, we can look at a gene called the 16S rRNA enzyme. The 16S rRNA gene tells us about the relationships of microbes, and that is why it is called a "" phylogenetic "" marker gene. "" Phylogenetic "" is derived from Greek words meaning the origin of a tribe or a family. There were other marker genes used in this study, too, including gene coding for special proteins called enzymes — specifically enzymes that were important in using sulfur for energy. By comparing the DNA of these microbes using several different methods, which will be described thoroughly, we were required to study three things : how many microbes were present in the samples taken from the groundwater, how those microbes grew over time in each microcosm, and how those microbes were transported through each other and to other microbes that we know about.",,,a2317c5a4,contextual_word_embs,-2.307657979,-1,54.56,13.8,38.87,3.3,11.49,54.76,-0.003652300949598169,13.6,0.014705882352941256,39.51,-0.01619843077701849,3.1,0.06451612903225798,11.15,0.030493273542600882,5
912,"Agony's eyes traveled over to the group surrounding Pom - pom and rested upon the girl where, next to Pom - pom herself, was the center of the pack. She was looking much like Agony herself, with intensely black hair, snow white forehead and richly red lips, though a little slighter in build and somewhat taller. A frank friendliness beamed from her clear dark eyes and her smile was warm and sincere. Agony felt drawn to her and jealous of her at the same time. The most popular girl in camp. That was the title Agony used with all her soul. Never appear prominent ; to be popular, was Agony's chief aim for life ; and to be pointed out in any crowd as their most popular girl seemed the one thing to the world most desirable to her. She, too, would be prominent and popular, she resolved ; she, too, would be pointed out in the crowd.",,,39dcc6828,contextual_word_embs,-0.96427267,-1,77.47,9.5,47.11,1.8,7.49,77.67,-0.00257499678125406,9.8,-0.030612244897959252,47.48,-0.007792754844144849,1.7,0.05882352941176476,7.31,0.024623803009576006,5
